intent_id,beneficiary_id,fps_id,cycle,rice_quantity_kg,wheat_quantity_kg,total_quantity_kg,collection_mode,submitted_at,status
INT-0003445,BEN-002847,FPS-0308,2026-01,17,13,30,AUTHORIZED_PERSON,2026-01-08T15:00:00,SUBMITTED
INT-0003446,BEN-009613,FPS-0432,2026-01,6,4,10,SELF,2026-01-20T11:44:00,SUBMITTED
INT-0003447,BEN-002365,FPS-0489,2026-01,8,5,13,SELF,2026-01-19T12:38:00,SUBMITTED
INT-0003448,BEN-009596,FPS-0494,2026-01,7,4,11,SELF,2026-01-16T14:58:00,SUBMITTED
INT-0003449,BEN-007802,FPS-0349,2026-01,6,4,10,SELF,2026-01-10T08:25:00,SUBMITTED
INT-0003450,BEN-000944,FPS-0185,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-16T08:56:00,SUBMITTED
INT-0003451,BEN-005062,FPS-0322,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-19T14:48:00,SUBMITTED
INT-0003452,BEN-000963,FPS-0061,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-15T14:31:00,CANCELLED
INT-0003453,BEN-007441,FPS-0302,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-07T09:51:00,CANCELLED
INT-0003454,BEN-003707,FPS-0220,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-19T10:43:00,SUBMITTED
INT-0003455,BEN-002033,FPS-0231,2026-01,15,11,26,AUTHORIZED_PERSON,2026-01-09T08:46:00,SUBMITTED
INT-0003456,BEN-002778,FPS-0271,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-16T16:07:00,SUBMITTED
INT-0003457,BEN-005663,FPS-0259,2026-01,8,5,13,SELF,2026-01-14T18:50:00,SUBMITTED
INT-0003458,BEN-006415,FPS-0023,2026-01,7,5,12,AUTHORIZED_PERSON,2026-01-17T09:31:00,SUBMITTED
INT-0003459,BEN-009462,FPS-0298,2026-01,8,7,15,SELF,2026-01-20T09:39:00,SUBMITTED
INT-0003460,BEN-005619,FPS-0005,2026-01,9,6,15,SELF,2026-01-18T08:51:00,SUBMITTED
INT-0003461,BEN-004986,FPS-0386,2026-01,9,6,15,SELF,2026-01-09T09:46:00,SUBMITTED
INT-0003462,BEN-005232,FPS-0337,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-15T13:39:00,SUBMITTED
INT-0003463,BEN-009517,FPS-0112,2026-01,6,4,10,SELF,2026-01-18T12:47:00,SUBMITTED
INT-0003464,BEN-005600,FPS-0231,2026-01,7,5,12,AUTHORIZED_PERSON,2026-01-08T12:13:00,SUBMITTED
INT-0003465,BEN-005525,FPS-0030,2026-01,2,1,3,SELF,2026-01-15T10:58:00,SUBMITTED
INT-0003466,BEN-006553,FPS-0046,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-14T15:44:00,SUBMITTED
INT-0003467,BEN-004502,FPS-0105,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-14T09:24:00,SUBMITTED
INT-0003468,BEN-005798,FPS-0173,2026-01,21,14,35,SELF,2026-01-14T13:45:00,SUBMITTED
INT-0003469,BEN-006426,FPS-0055,2026-01,20,14,34,SELF,2026-01-16T16:02:00,SUBMITTED
INT-0003470,BEN-009855,FPS-0473,2026-01,10,7,17,AUTHORIZED_PERSON,2026-01-08T09:57:00,SUBMITTED
INT-0003471,BEN-002931,FPS-0327,2026-01,6,4,10,SELF,2026-01-18T19:27:00,SUBMITTED
INT-0003472,BEN-007397,FPS-0384,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-11T14:00:00,SUBMITTED
INT-0003473,BEN-000280,FPS-0497,2026-01,21,14,35,SELF,2026-01-06T16:57:00,SUBMITTED
INT-0003474,BEN-006852,FPS-0600,2026-01,15,10,25,AUTHORIZED_PERSON,2026-01-16T10:28:00,SUBMITTED
INT-0003475,BEN-005988,FPS-0506,2026-01,9,6,15,SELF,2026-01-09T15:28:00,SUBMITTED
INT-0003476,BEN-002519,FPS-0287,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-12T10:35:00,SUBMITTED
INT-0003477,BEN-004064,FPS-0193,2026-01,6,4,10,SELF,2026-01-16T09:58:00,SUBMITTED
INT-0003478,BEN-008216,FPS-0279,2026-01,17,10,27,SELF,2026-01-13T08:02:00,SUBMITTED
INT-0003479,BEN-009429,FPS-0415,2026-01,12,7,19,SELF,2026-01-13T09:03:00,SUBMITTED
INT-0003480,BEN-005215,FPS-0570,2026-01,13,7,20,SELF,2026-01-13T19:47:00,SUBMITTED
INT-0003481,BEN-005826,FPS-0378,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-08T15:50:00,SUBMITTED
INT-0003482,BEN-008344,FPS-0170,2026-01,16,14,30,AUTHORIZED_PERSON,2026-01-19T12:30:00,SUBMITTED
INT-0003483,BEN-004886,FPS-0222,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-14T10:42:00,SUBMITTED
INT-0003484,BEN-003174,FPS-0303,2026-01,8,7,15,SELF,2026-01-16T18:49:00,SUBMITTED
INT-0003485,BEN-007674,FPS-0352,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-18T11:24:00,SUBMITTED
INT-0003486,BEN-007272,FPS-0260,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-18T12:28:00,SUBMITTED
INT-0003487,BEN-006315,FPS-0360,2026-01,11,8,19,SELF,2026-01-15T10:17:00,SUBMITTED
INT-0003488,BEN-008573,FPS-0258,2026-01,4,3,7,AUTHORIZED_PERSON,2026-01-16T15:06:00,SUBMITTED
INT-0003489,BEN-006774,FPS-0245,2026-01,11,7,18,SELF,2026-01-18T10:12:00,SUBMITTED
INT-0003490,BEN-009005,FPS-0439,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-19T18:18:00,SUBMITTED
INT-0003491,BEN-008636,FPS-0149,2026-01,15,10,25,AUTHORIZED_PERSON,2026-01-10T11:18:00,SUBMITTED
INT-0003492,BEN-000788,FPS-0349,2026-01,9,8,17,SELF,2026-01-19T14:15:00,SUBMITTED
INT-0003493,BEN-006688,FPS-0121,2026-01,23,12,35,AUTHORIZED_PERSON,2026-01-18T10:28:00,SUBMITTED
INT-0003494,BEN-000680,FPS-0134,2026-01,13,7,20,SELF,2026-01-07T15:22:00,SUBMITTED
INT-0003495,BEN-008517,FPS-0555,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-19T17:26:00,SUBMITTED
INT-0003496,BEN-004482,FPS-0096,2026-01,10,5,15,SELF,2026-01-16T19:04:00,SUBMITTED
INT-0003497,BEN-008424,FPS-0473,2026-01,13,9,22,AUTHORIZED_PERSON,2026-01-08T19:48:00,SUBMITTED
INT-0003498,BEN-006549,FPS-0463,2026-01,9,6,15,SELF,2026-01-14T16:36:00,SUBMITTED
INT-0003499,BEN-003147,FPS-0017,2026-01,13,7,20,SELF,2026-01-18T17:11:00,SUBMITTED
INT-0003500,BEN-002107,FPS-0485,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-15T15:51:00,SUBMITTED
INT-0003501,BEN-008599,FPS-0419,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-14T19:29:00,SUBMITTED
INT-0003502,BEN-008448,FPS-0499,2026-01,5,4,9,SELF,2026-01-13T13:54:00,SUBMITTED
INT-0003503,BEN-009917,FPS-0246,2026-01,23,12,35,SELF,2026-01-18T17:22:00,SUBMITTED
INT-0003504,BEN-005620,FPS-0365,2026-01,14,11,25,SELF,2026-01-09T11:43:00,SUBMITTED
INT-0003505,BEN-000760,FPS-0170,2026-01,9,6,15,SELF,2026-01-14T08:20:00,SUBMITTED
INT-0003506,BEN-002617,FPS-0425,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-17T18:08:00,SUBMITTED
INT-0003507,BEN-005469,FPS-0248,2026-01,14,11,25,SELF,2026-01-11T16:28:00,SUBMITTED
INT-0003508,BEN-008410,FPS-0528,2026-01,11,9,20,SELF,2026-01-14T10:01:00,SUBMITTED
INT-0003509,BEN-000597,FPS-0359,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-19T19:21:00,SUBMITTED
INT-0003510,BEN-007349,FPS-0418,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-06T12:30:00,CANCELLED
INT-0003511,BEN-003883,FPS-0413,2026-01,9,6,15,SELF,2026-01-05T12:28:00,SUBMITTED
INT-0003512,BEN-003169,FPS-0223,2026-01,11,7,18,AUTHORIZED_PERSON,2026-01-08T09:54:00,SUBMITTED
INT-0003513,BEN-000848,FPS-0256,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-07T14:58:00,SUBMITTED
INT-0003514,BEN-009526,FPS-0507,2026-01,15,11,26,SELF,2026-01-19T15:54:00,SUBMITTED
INT-0003515,BEN-009317,FPS-0373,2026-01,11,7,18,SELF,2026-01-13T12:46:00,SUBMITTED
INT-0003516,BEN-008871,FPS-0216,2026-01,15,11,26,AUTHORIZED_PERSON,2026-01-08T11:47:00,SUBMITTED
INT-0003517,BEN-006486,FPS-0051,2026-01,6,4,10,SELF,2026-01-13T12:23:00,SUBMITTED
INT-0003518,BEN-003533,FPS-0548,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-17T12:41:00,SUBMITTED
INT-0003519,BEN-002356,FPS-0095,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-07T17:02:00,SUBMITTED
INT-0003520,BEN-001890,FPS-0365,2026-01,5,4,9,SELF,2026-01-14T13:57:00,SUBMITTED
INT-0003521,BEN-000608,FPS-0386,2026-01,18,12,30,AUTHORIZED_PERSON,2026-01-12T14:49:00,SUBMITTED
INT-0003522,BEN-004261,FPS-0212,2026-01,5,4,9,SELF,2026-01-09T08:52:00,SUBMITTED
INT-0003523,BEN-007930,FPS-0326,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-20T13:09:00,SUBMITTED
INT-0003524,BEN-007040,FPS-0427,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-19T09:44:00,SUBMITTED
INT-0003525,BEN-002342,FPS-0010,2026-01,12,8,20,SELF,2026-01-09T10:19:00,SUBMITTED
INT-0003526,BEN-001309,FPS-0491,2026-01,16,9,25,SELF,2026-01-05T10:58:00,SUBMITTED
INT-0003527,BEN-002884,FPS-0387,2026-01,8,6,14,SELF,2026-01-16T08:59:00,SUBMITTED
INT-0003528,BEN-009568,FPS-0433,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-13T19:54:00,SUBMITTED
INT-0003529,BEN-000888,FPS-0074,2026-01,11,9,20,SELF,2026-01-16T16:53:00,SUBMITTED
INT-0003530,BEN-009639,FPS-0249,2026-01,9,7,16,AUTHORIZED_PERSON,2026-01-10T08:17:00,SUBMITTED
INT-0003531,BEN-008194,FPS-0305,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-07T11:53:00,SUBMITTED
INT-0003532,BEN-005971,FPS-0018,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-20T13:49:00,SUBMITTED
INT-0003533,BEN-002258,FPS-0333,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-16T10:36:00,SUBMITTED
INT-0003534,BEN-004277,FPS-0465,2026-01,19,15,34,AUTHORIZED_PERSON,2026-01-09T08:52:00,SUBMITTED
INT-0003535,BEN-006276,FPS-0488,2026-01,12,7,19,AUTHORIZED_PERSON,2026-01-18T14:57:00,SUBMITTED
INT-0003536,BEN-006172,FPS-0144,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-16T14:00:00,SUBMITTED
INT-0003537,BEN-000322,FPS-0143,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-13T08:50:00,SUBMITTED
INT-0003538,BEN-005510,FPS-0184,2026-01,6,5,11,AUTHORIZED_PERSON,2026-01-13T15:27:00,SUBMITTED
INT-0003539,BEN-007703,FPS-0296,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-09T08:15:00,SUBMITTED
INT-0003540,BEN-006671,FPS-0301,2026-01,13,8,21,AUTHORIZED_PERSON,2026-01-18T10:13:00,SUBMITTED
INT-0003541,BEN-002027,FPS-0479,2026-01,6,4,10,SELF,2026-01-05T18:07:00,SUBMITTED
INT-0003542,BEN-003984,FPS-0207,2026-01,15,10,25,SELF,2026-01-06T12:44:00,SUBMITTED
INT-0003543,BEN-003427,FPS-0388,2026-01,19,11,30,SELF,2026-01-05T15:01:00,SUBMITTED
INT-0003544,BEN-001765,FPS-0287,2026-01,12,8,20,SELF,2026-01-15T16:35:00,SUBMITTED
INT-0003545,BEN-001718,FPS-0069,2026-01,6,4,10,SELF,2026-01-05T11:01:00,SUBMITTED
INT-0003546,BEN-007381,FPS-0242,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-10T19:58:00,SUBMITTED
INT-0003547,BEN-007903,FPS-0525,2026-01,4,3,7,SELF,2026-01-09T08:16:00,SUBMITTED
INT-0003548,BEN-002850,FPS-0133,2026-01,6,4,10,SELF,2026-01-13T09:15:00,SUBMITTED
INT-0003549,BEN-006153,FPS-0372,2026-01,20,15,35,SELF,2026-01-19T10:29:00,SUBMITTED
INT-0003550,BEN-009159,FPS-0459,2026-01,14,9,23,SELF,2026-01-17T19:20:00,SUBMITTED
INT-0003551,BEN-009104,FPS-0178,2026-01,6,4,10,SELF,2026-01-10T14:23:00,SUBMITTED
INT-0003552,BEN-007213,FPS-0194,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-09T16:06:00,SUBMITTED
INT-0003553,BEN-001654,FPS-0069,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-10T11:26:00,SUBMITTED
INT-0003554,BEN-004272,FPS-0569,2026-01,12,9,21,SELF,2026-01-15T12:44:00,SUBMITTED
INT-0003555,BEN-006599,FPS-0592,2026-01,17,12,29,AUTHORIZED_PERSON,2026-01-06T15:53:00,SUBMITTED
INT-0003556,BEN-009230,FPS-0196,2026-01,22,13,35,SELF,2026-01-06T19:24:00,SUBMITTED
INT-0003557,BEN-004287,FPS-0327,2026-01,12,8,20,SELF,2026-01-08T17:44:00,SUBMITTED
INT-0003558,BEN-008995,FPS-0576,2026-01,19,13,32,SELF,2026-01-10T11:28:00,SUBMITTED
INT-0003559,BEN-005614,FPS-0559,2026-01,10,5,15,AUTHORIZED_PERSON,2026-01-07T14:36:00,SUBMITTED
INT-0003560,BEN-000708,FPS-0281,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-09T11:34:00,SUBMITTED
INT-0003561,BEN-003557,FPS-0184,2026-01,11,7,18,SELF,2026-01-06T11:57:00,SUBMITTED
INT-0003562,BEN-001615,FPS-0209,2026-01,8,6,14,SELF,2026-01-12T13:25:00,SUBMITTED
INT-0003563,BEN-008628,FPS-0178,2026-01,16,11,27,SELF,2026-01-17T14:55:00,SUBMITTED
INT-0003564,BEN-003942,FPS-0155,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-05T13:07:00,SUBMITTED
INT-0003565,BEN-007338,FPS-0553,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-08T09:53:00,SUBMITTED
INT-0003566,BEN-008220,FPS-0479,2026-01,23,12,35,AUTHORIZED_PERSON,2026-01-20T14:43:00,SUBMITTED
INT-0003567,BEN-003202,FPS-0331,2026-01,6,6,12,SELF,2026-01-19T10:22:00,SUBMITTED
INT-0003568,BEN-005768,FPS-0468,2026-01,4,3,7,AUTHORIZED_PERSON,2026-01-16T14:43:00,SUBMITTED
INT-0003569,BEN-009866,FPS-0147,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-11T13:14:00,SUBMITTED
INT-0003570,BEN-006843,FPS-0404,2026-01,14,11,25,SELF,2026-01-10T17:56:00,SUBMITTED
INT-0003571,BEN-003881,FPS-0117,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-17T15:43:00,SUBMITTED
INT-0003572,BEN-000507,FPS-0126,2026-01,12,6,18,SELF,2026-01-15T19:41:00,SUBMITTED
INT-0003573,BEN-007637,FPS-0460,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-06T08:50:00,SUBMITTED
INT-0003574,BEN-007588,FPS-0575,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-08T08:03:00,SUBMITTED
INT-0003575,BEN-004745,FPS-0442,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-14T09:07:00,SUBMITTED
INT-0003576,BEN-006979,FPS-0424,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-06T17:57:00,SUBMITTED
INT-0003577,BEN-008208,FPS-0308,2026-01,6,4,10,SELF,2026-01-11T19:35:00,SUBMITTED
INT-0003578,BEN-000785,FPS-0210,2026-01,13,7,20,SELF,2026-01-19T17:21:00,CANCELLED
INT-0003579,BEN-000102,FPS-0299,2026-01,15,8,23,AUTHORIZED_PERSON,2026-01-08T17:28:00,SUBMITTED
INT-0003580,BEN-004065,FPS-0121,2026-01,21,12,33,SELF,2026-01-06T13:22:00,SUBMITTED
INT-0003581,BEN-003247,FPS-0010,2026-01,19,12,31,AUTHORIZED_PERSON,2026-01-14T14:13:00,SUBMITTED
INT-0003582,BEN-008355,FPS-0475,2026-01,9,4,13,AUTHORIZED_PERSON,2026-01-17T16:30:00,SUBMITTED
INT-0003583,BEN-002887,FPS-0582,2026-01,10,8,18,SELF,2026-01-09T13:22:00,SUBMITTED
INT-0003584,BEN-000318,FPS-0341,2026-01,8,7,15,SELF,2026-01-10T09:17:00,SUBMITTED
INT-0003585,BEN-004346,FPS-0311,2026-01,15,10,25,AUTHORIZED_PERSON,2026-01-07T08:36:00,SUBMITTED
INT-0003586,BEN-005362,FPS-0101,2026-01,9,6,15,SELF,2026-01-17T13:41:00,SUBMITTED
INT-0003587,BEN-006993,FPS-0063,2026-01,7,5,12,AUTHORIZED_PERSON,2026-01-17T16:13:00,SUBMITTED
INT-0003588,BEN-004359,FPS-0320,2026-01,2,1,3,SELF,2026-01-12T10:06:00,SUBMITTED
INT-0003589,BEN-005381,FPS-0169,2026-01,17,12,29,SELF,2026-01-08T16:30:00,SUBMITTED
INT-0003590,BEN-008001,FPS-0035,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-12T10:13:00,SUBMITTED
INT-0003591,BEN-003795,FPS-0008,2026-01,9,6,15,SELF,2026-01-10T12:57:00,SUBMITTED
INT-0003592,BEN-003204,FPS-0406,2026-01,20,15,35,SELF,2026-01-11T09:22:00,SUBMITTED
INT-0003593,BEN-005328,FPS-0339,2026-01,3,2,5,SELF,2026-01-08T13:15:00,SUBMITTED
INT-0003594,BEN-001514,FPS-0167,2026-01,5,3,8,SELF,2026-01-05T08:36:00,SUBMITTED
INT-0003595,BEN-009710,FPS-0531,2026-01,12,8,20,SELF,2026-01-06T14:28:00,SUBMITTED
INT-0003596,BEN-007001,FPS-0066,2026-01,19,12,31,SELF,2026-01-16T11:47:00,SUBMITTED
INT-0003597,BEN-006859,FPS-0142,2026-01,10,8,18,AUTHORIZED_PERSON,2026-01-05T11:12:00,SUBMITTED
INT-0003598,BEN-006924,FPS-0075,2026-01,4,3,7,AUTHORIZED_PERSON,2026-01-20T11:04:00,SUBMITTED
INT-0003599,BEN-002835,FPS-0497,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-13T15:25:00,SUBMITTED
INT-0003600,BEN-003070,FPS-0374,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-20T10:40:00,SUBMITTED
INT-0003601,BEN-000816,FPS-0539,2026-01,7,5,12,SELF,2026-01-08T18:06:00,SUBMITTED
INT-0003602,BEN-005363,FPS-0119,2026-01,16,10,26,SELF,2026-01-12T16:53:00,SUBMITTED
INT-0003603,BEN-008112,FPS-0418,2026-01,2,1,3,AUTHORIZED_PERSON,2026-01-12T11:39:00,SUBMITTED
INT-0003604,BEN-006160,FPS-0054,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-10T12:43:00,SUBMITTED
INT-0003605,BEN-008491,FPS-0199,2026-01,9,6,15,SELF,2026-01-09T08:06:00,SUBMITTED
INT-0003606,BEN-005869,FPS-0206,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-19T14:42:00,SUBMITTED
INT-0003607,BEN-008024,FPS-0093,2026-01,6,4,10,SELF,2026-01-20T13:18:00,SUBMITTED
INT-0003608,BEN-002218,FPS-0255,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-05T12:35:00,SUBMITTED
INT-0003609,BEN-002496,FPS-0594,2026-01,8,7,15,SELF,2026-01-12T08:01:00,SUBMITTED
INT-0003610,BEN-009207,FPS-0032,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-20T16:51:00,SUBMITTED
INT-0003611,BEN-009793,FPS-0184,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-15T16:07:00,SUBMITTED
INT-0003612,BEN-002197,FPS-0499,2026-01,17,11,28,AUTHORIZED_PERSON,2026-01-07T17:42:00,SUBMITTED
INT-0003613,BEN-002140,FPS-0309,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-17T08:44:00,SUBMITTED
INT-0003614,BEN-009074,FPS-0491,2026-01,11,6,17,SELF,2026-01-08T18:25:00,SUBMITTED
INT-0003615,BEN-007347,FPS-0051,2026-01,10,7,17,AUTHORIZED_PERSON,2026-01-18T14:11:00,SUBMITTED
INT-0003616,BEN-004829,FPS-0304,2026-01,16,13,29,AUTHORIZED_PERSON,2026-01-16T08:42:00,SUBMITTED
INT-0003617,BEN-006807,FPS-0345,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-06T09:58:00,SUBMITTED
INT-0003618,BEN-008997,FPS-0465,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-13T09:30:00,SUBMITTED
INT-0003619,BEN-001660,FPS-0106,2026-01,12,8,20,SELF,2026-01-08T13:09:00,SUBMITTED
INT-0003620,BEN-001462,FPS-0310,2026-01,17,13,30,AUTHORIZED_PERSON,2026-01-18T09:13:00,SUBMITTED
INT-0003621,BEN-006622,FPS-0132,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-09T11:21:00,SUBMITTED
INT-0003622,BEN-008129,FPS-0409,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-05T10:19:00,SUBMITTED
INT-0003623,BEN-008971,FPS-0080,2026-01,2,1,3,SELF,2026-01-07T08:19:00,SUBMITTED
INT-0003624,BEN-005734,FPS-0597,2026-01,9,6,15,SELF,2026-01-19T13:27:00,SUBMITTED
INT-0003625,BEN-000082,FPS-0216,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-16T12:22:00,SUBMITTED
INT-0003626,BEN-002385,FPS-0107,2026-01,8,4,12,SELF,2026-01-10T19:40:00,SUBMITTED
INT-0003627,BEN-002232,FPS-0202,2026-01,12,9,21,AUTHORIZED_PERSON,2026-01-07T13:39:00,SUBMITTED
INT-0003628,BEN-006260,FPS-0499,2026-01,20,11,31,AUTHORIZED_PERSON,2026-01-15T11:30:00,SUBMITTED
INT-0003629,BEN-009659,FPS-0250,2026-01,13,7,20,SELF,2026-01-08T13:46:00,SUBMITTED
INT-0003630,BEN-006144,FPS-0032,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-10T11:59:00,SUBMITTED
INT-0003631,BEN-006962,FPS-0542,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-09T19:49:00,SUBMITTED
INT-0003632,BEN-006657,FPS-0254,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-18T17:33:00,SUBMITTED
INT-0003633,BEN-008371,FPS-0422,2026-01,6,4,10,SELF,2026-01-12T19:33:00,SUBMITTED
INT-0003634,BEN-002540,FPS-0262,2026-01,19,12,31,AUTHORIZED_PERSON,2026-01-06T10:22:00,SUBMITTED
INT-0003635,BEN-004847,FPS-0293,2026-01,7,4,11,SELF,2026-01-10T14:13:00,SUBMITTED
INT-0003636,BEN-007691,FPS-0537,2026-01,8,7,15,SELF,2026-01-12T13:32:00,SUBMITTED
INT-0003637,BEN-002313,FPS-0068,2026-01,14,11,25,SELF,2026-01-11T11:02:00,SUBMITTED
INT-0003638,BEN-004203,FPS-0571,2026-01,5,5,10,SELF,2026-01-07T10:25:00,SUBMITTED
INT-0003639,BEN-008568,FPS-0565,2026-01,11,7,18,AUTHORIZED_PERSON,2026-01-06T14:15:00,SUBMITTED
INT-0003640,BEN-002121,FPS-0401,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-10T09:09:00,SUBMITTED
INT-0003641,BEN-008478,FPS-0365,2026-01,10,5,15,SELF,2026-01-14T16:28:00,SUBMITTED
INT-0003642,BEN-007868,FPS-0549,2026-01,7,7,14,AUTHORIZED_PERSON,2026-01-05T16:17:00,SUBMITTED
INT-0003643,BEN-009387,FPS-0013,2026-01,20,15,35,SELF,2026-01-17T10:02:00,SUBMITTED
INT-0003644,BEN-002564,FPS-0345,2026-01,22,13,35,AUTHORIZED_PERSON,2026-01-11T10:39:00,SUBMITTED
INT-0003645,BEN-007611,FPS-0588,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-19T09:33:00,SUBMITTED
INT-0003646,BEN-001111,FPS-0254,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-09T10:17:00,SUBMITTED
INT-0003647,BEN-004234,FPS-0154,2026-01,19,16,35,AUTHORIZED_PERSON,2026-01-05T13:43:00,SUBMITTED
INT-0003648,BEN-000910,FPS-0572,2026-01,19,16,35,AUTHORIZED_PERSON,2026-01-10T10:32:00,SUBMITTED
INT-0003649,BEN-007265,FPS-0187,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-17T18:57:00,SUBMITTED
INT-0003650,BEN-006317,FPS-0436,2026-01,9,7,16,AUTHORIZED_PERSON,2026-01-05T08:47:00,SUBMITTED
INT-0003651,BEN-004512,FPS-0092,2026-01,6,6,12,SELF,2026-01-14T16:40:00,SUBMITTED
INT-0003652,BEN-009197,FPS-0274,2026-01,10,6,16,SELF,2026-01-07T11:09:00,SUBMITTED
INT-0003653,BEN-002012,FPS-0161,2026-01,18,12,30,SELF,2026-01-18T10:51:00,SUBMITTED
INT-0003654,BEN-006580,FPS-0447,2026-01,12,6,18,AUTHORIZED_PERSON,2026-01-06T14:18:00,SUBMITTED
INT-0003655,BEN-005530,FPS-0049,2026-01,6,4,10,SELF,2026-01-08T12:00:00,SUBMITTED
INT-0003656,BEN-003441,FPS-0166,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-14T16:45:00,SUBMITTED
INT-0003657,BEN-007972,FPS-0223,2026-01,11,8,19,SELF,2026-01-16T16:42:00,SUBMITTED
INT-0003658,BEN-000858,FPS-0250,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-12T09:49:00,SUBMITTED
INT-0003659,BEN-005436,FPS-0565,2026-01,6,5,11,AUTHORIZED_PERSON,2026-01-14T12:49:00,SUBMITTED
INT-0003660,BEN-003261,FPS-0333,2026-01,8,6,14,SELF,2026-01-09T09:14:00,SUBMITTED
INT-0003661,BEN-000391,FPS-0269,2026-01,4,3,7,SELF,2026-01-18T13:09:00,SUBMITTED
INT-0003662,BEN-006380,FPS-0067,2026-01,9,5,14,AUTHORIZED_PERSON,2026-01-06T16:36:00,SUBMITTED
INT-0003663,BEN-004474,FPS-0066,2026-01,22,13,35,AUTHORIZED_PERSON,2026-01-08T14:45:00,SUBMITTED
INT-0003664,BEN-008251,FPS-0278,2026-01,6,4,10,SELF,2026-01-06T15:21:00,SUBMITTED
INT-0003665,BEN-002885,FPS-0484,2026-01,10,6,16,SELF,2026-01-15T17:13:00,SUBMITTED
INT-0003666,BEN-005701,FPS-0565,2026-01,9,6,15,SELF,2026-01-14T09:13:00,SUBMITTED
INT-0003667,BEN-008795,FPS-0403,2026-01,6,4,10,SELF,2026-01-19T15:32:00,SUBMITTED
INT-0003668,BEN-009156,FPS-0293,2026-01,9,6,15,SELF,2026-01-09T16:41:00,SUBMITTED
