manifest_item_id,manifest_id,fps_id,commodity,planned_kg,sequence_number,allocation_id
MI-0000916,MAN-000077,FPS-0220,WHEAT,135,2,ALLOC-0000440
MI-0000917,MAN-000077,FPS-0420,RICE,207,3,ALLOC-0000839
MI-0000918,MAN-000077,FPS-0420,WHEAT,163,3,ALLOC-0000840
MI-0000919,MAN-000077,FPS-0545,RICE,120,4,ALLOC-0001089
MI-0000920,MAN-000077,FPS-0545,WHEAT,119,4,ALLOC-0001090
MI-0000921,MAN-000077,FPS-0295,RICE,153,5,ALLOC-0000589
MI-0000922,MAN-000077,FPS-0295,WHEAT,126,5,ALLOC-0000590
MI-0000923,MAN-000077,FPS-0395,RICE,133,6,ALLOC-0000789
MI-0000924,MAN-000077,FPS-0395,WHEAT,127,6,ALLOC-0000790
MI-0000925,MAN-000078,FPS-0345,RICE,168,1,ALLOC-0000689
MI-0000926,MAN-000078,FPS-0345,WHEAT,132,1,ALLOC-0000690
MI-0000927,MAN-000078,FPS-0495,RICE,130,2,ALLOC-0000989
MI-0000928,MAN-000078,FPS-0495,WHEAT,110,2,ALLOC-0000990
MI-0000929,MAN-000078,FPS-0445,RICE,151,3,ALLOC-0000889
MI-0000930,MAN-000078,FPS-0445,WHEAT,129,3,ALLOC-0000890
MI-0000931,MAN-000078,FPS-0120,RICE,143,4,ALLOC-0000239
MI-0000932,MAN-000078,FPS-0120,WHEAT,122,4,ALLOC-0000240
MI-0000933,MAN-000078,FPS-0570,RICE,121,5,ALLOC-0001139
MI-0000934,MAN-000078,FPS-0570,WHEAT,106,5,ALLOC-0001140
MI-0000935,MAN-000078,FPS-0270,RICE,140,6,ALLOC-0000539
MI-0000936,MAN-000078,FPS-0270,WHEAT,122,6,ALLOC-0000540
MI-0000937,MAN-000079,FPS-0195,RICE,186,1,ALLOC-0000389
MI-0000938,MAN-000079,FPS-0195,WHEAT,140,1,ALLOC-0000390
MI-0000939,MAN-000079,FPS-0170,RICE,147,2,ALLOC-0000339
MI-0000940,MAN-000079,FPS-0170,WHEAT,132,2,ALLOC-0000340
MI-0000941,MAN-000079,FPS-0145,RICE,127,3,ALLOC-0000289
MI-0000942,MAN-000079,FPS-0145,WHEAT,116,3,ALLOC-0000290
MI-0000943,MAN-000079,FPS-0320,RICE,119,4,ALLOC-0000639
MI-0000944,MAN-000079,FPS-0320,WHEAT,110,4,ALLOC-0000640
MI-0000945,MAN-000079,FPS-0245,RICE,125,5,ALLOC-0000489
MI-0000946,MAN-000079,FPS-0245,WHEAT,121,5,ALLOC-0000490
MI-0000947,MAN-000079,FPS-0595,RICE,126,6,ALLOC-0001189
MI-0000948,MAN-000079,FPS-0595,WHEAT,118,6,ALLOC-0001190
MI-0000949,MAN-000080,FPS-0520,RICE,135,1,ALLOC-0001039
MI-0000950,MAN-000080,FPS-0520,WHEAT,122,1,ALLOC-0001040
MI-0000951,MAN-000080,FPS-0045,RICE,207,2,ALLOC-0000089
MI-0000952,MAN-000080,FPS-0045,WHEAT,150,2,ALLOC-0000090
MI-0000953,MAN-000080,FPS-0070,RICE,147,3,ALLOC-0000139
MI-0000954,MAN-000080,FPS-0070,WHEAT,133,3,ALLOC-0000140
MI-0000955,MAN-000080,FPS-0020,RICE,145,4,ALLOC-0000039
MI-0000956,MAN-000080,FPS-0020,WHEAT,138,4,ALLOC-0000040
MI-0000957,MAN-000080,FPS-0370,RICE,171,5,ALLOC-0000739
MI-0000958,MAN-000080,FPS-0370,WHEAT,135,5,ALLOC-0000740
MI-0000959,MAN-000080,FPS-0095,RICE,210,6,ALLOC-0000189
MI-0000960,MAN-000080,FPS-0095,WHEAT,149,6,ALLOC-0000190
MI-0000961,MAN-000081,FPS-0496,RICE,153,1,ALLOC-0000991
MI-0000962,MAN-000081,FPS-0496,WHEAT,126,1,ALLOC-0000992
MI-0000963,MAN-000081,FPS-0421,RICE,190,2,ALLOC-0000841
MI-0000964,MAN-000081,FPS-0421,WHEAT,141,2,ALLOC-0000842
MI-0000965,MAN-000081,FPS-0371,RICE,146,3,ALLOC-0000741
MI-0000966,MAN-000081,FPS-0371,WHEAT,126,3,ALLOC-0000742
MI-0000967,MAN-000081,FPS-0321,RICE,226,4,ALLOC-0000641
MI-0000968,MAN-000081,FPS-0321,WHEAT,156,4,ALLOC-0000642
MI-0000969,MAN-000081,FPS-0296,RICE,135,5,ALLOC-0000591
MI-0000970,MAN-000081,FPS-0296,WHEAT,110,5,ALLOC-0000592
MI-0000971,MAN-000081,FPS-0446,RICE,162,6,ALLOC-0000891
MI-0000972,MAN-000081,FPS-0446,WHEAT,138,6,ALLOC-0000892
MI-0000973,MAN-000082,FPS-0171,RICE,150,1,ALLOC-0000341
MI-0000974,MAN-000082,FPS-0171,WHEAT,132,1,ALLOC-0000342
MI-0000975,MAN-000082,FPS-0096,RICE,157,2,ALLOC-0000191
MI-0000976,MAN-000082,FPS-0096,WHEAT,136,2,ALLOC-0000192
MI-0000977,MAN-000082,FPS-0346,RICE,183,3,ALLOC-0000691
MI-0000978,MAN-000082,FPS-0346,WHEAT,138,3,ALLOC-0000692
MI-0000979,MAN-000082,FPS-0146,RICE,122,4,ALLOC-0000291
MI-0000980,MAN-000082,FPS-0146,WHEAT,118,4,ALLOC-0000292
MI-0000981,MAN-000082,FPS-0271,RICE,162,5,ALLOC-0000541
MI-0000982,MAN-000082,FPS-0271,WHEAT,143,5,ALLOC-0000542
MI-0000983,MAN-000082,FPS-0596,RICE,141,6,ALLOC-0001191
MI-0000984,MAN-000082,FPS-0596,WHEAT,122,6,ALLOC-0001192
MI-0000985,MAN-000083,FPS-0396,RICE,140,1,ALLOC-0000791
MI-0000986,MAN-000083,FPS-0396,WHEAT,127,1,ALLOC-0000792
MI-0000987,MAN-000083,FPS-0471,RICE,159,2,ALLOC-0000941
MI-0000988,MAN-000083,FPS-0471,WHEAT,131,2,ALLOC-0000942
MI-0000989,MAN-000083,FPS-0071,RICE,119,3,ALLOC-0000141
MI-0000990,MAN-000083,FPS-0071,WHEAT,114,3,ALLOC-0000142
MI-0000991,MAN-000083,FPS-0121,RICE,147,4,ALLOC-0000241
MI-0000992,MAN-000083,FPS-0121,WHEAT,131,4,ALLOC-0000242
MI-0000993,MAN-000083,FPS-0246,RICE,277,5,ALLOC-0000491
MI-0000994,MAN-000083,FPS-0246,WHEAT,187,5,ALLOC-0000492
MI-0000995,MAN-000083,FPS-0196,RICE,198,6,ALLOC-0000391
MI-0000996,MAN-000083,FPS-0196,WHEAT,136,6,ALLOC-0000392
MI-0000997,MAN-000084,FPS-0021,RICE,259,1,ALLOC-0000041
MI-0000998,MAN-000084,FPS-0021,WHEAT,188,1,ALLOC-0000042
MI-0000999,MAN-000084,FPS-0046,RICE,166,2,ALLOC-0000091
MI-0001000,MAN-000084,FPS-0046,WHEAT,138,2,ALLOC-0000092
MI-0001001,MAN-000084,FPS-0571,RICE,139,3,ALLOC-0001141
MI-0001002,MAN-000084,FPS-0571,WHEAT,133,3,ALLOC-0001142
MI-0001003,MAN-000084,FPS-0546,RICE,238,4,ALLOC-0001091
MI-0001004,MAN-000084,FPS-0546,WHEAT,162,4,ALLOC-0001092
MI-0001005,MAN-000084,FPS-0521,RICE,190,5,ALLOC-0001041
MI-0001006,MAN-000084,FPS-0521,WHEAT,141,5,ALLOC-0001042
MI-0001007,MAN-000084,FPS-0221,RICE,209,6,ALLOC-0000441
MI-0001008,MAN-000084,FPS-0221,WHEAT,156,6,ALLOC-0000442
MI-0001009,MAN-000085,FPS-0172,RICE,189,1,ALLOC-0000343
MI-0001010,MAN-000085,FPS-0172,WHEAT,135,1,ALLOC-0000344
MI-0001011,MAN-000085,FPS-0347,RICE,265,2,ALLOC-0000693
MI-0001012,MAN-000085,FPS-0347,WHEAT,177,2,ALLOC-0000694
MI-0001013,MAN-000085,FPS-0422,RICE,163,3,ALLOC-0000843
MI-0001014,MAN-000085,FPS-0422,WHEAT,134,3,ALLOC-0000844
MI-0001015,MAN-000085,FPS-0497,RICE,217,4,ALLOC-0000993
MI-0001016,MAN-000085,FPS-0497,WHEAT,142,4,ALLOC-0000994
MI-0001017,MAN-000085,FPS-0197,RICE,207,5,ALLOC-0000393
MI-0001018,MAN-000085,FPS-0197,WHEAT,151,5,ALLOC-0000394
MI-0001019,MAN-000085,FPS-0072,RICE,216,6,ALLOC-0000143
MI-0001020,MAN-000085,FPS-0072,WHEAT,164,6,ALLOC-0000144
MI-0001021,MAN-000086,FPS-0572,RICE,250,1,ALLOC-0001143
MI-0001022,MAN-000086,FPS-0572,WHEAT,169,1,ALLOC-0001144
MI-0001023,MAN-000086,FPS-0222,RICE,205,2,ALLOC-0000443
MI-0001024,MAN-000086,FPS-0222,WHEAT,148,2,ALLOC-0000444
MI-0001025,MAN-000086,FPS-0247,RICE,116,3,ALLOC-0000493
MI-0001026,MAN-000086,FPS-0247,WHEAT,102,3,ALLOC-0000494
MI-0001027,MAN-000086,FPS-0472,RICE,221,4,ALLOC-0000943
MI-0001028,MAN-000086,FPS-0472,WHEAT,168,4,ALLOC-0000944
MI-0001029,MAN-000086,FPS-0297,RICE,159,5,ALLOC-0000593
MI-0001030,MAN-000086,FPS-0297,WHEAT,137,5,ALLOC-0000594
MI-0001031,MAN-000086,FPS-0147,RICE,140,6,ALLOC-0000293
MI-0001032,MAN-000086,FPS-0147,WHEAT,126,6,ALLOC-0000294
MI-0001033,MAN-000087,FPS-0097,RICE,207,1,ALLOC-0000193
MI-0001034,MAN-000087,FPS-0097,WHEAT,154,1,ALLOC-0000194
MI-0001035,MAN-000087,FPS-0522,RICE,195,2,ALLOC-0001043
MI-0001036,MAN-000087,FPS-0522,WHEAT,145,2,ALLOC-0001044
MI-0001037,MAN-000087,FPS-0322,RICE,175,3,ALLOC-0000643
MI-0001038,MAN-000087,FPS-0322,WHEAT,141,3,ALLOC-0000644
MI-0001039,MAN-000087,FPS-0122,RICE,146,4,ALLOC-0000243
MI-0001040,MAN-000087,FPS-0122,WHEAT,131,4,ALLOC-0000244
MI-0001041,MAN-000087,FPS-0047,RICE,200,5,ALLOC-0000093
MI-0001042,MAN-000087,FPS-0047,WHEAT,144,5,ALLOC-0000094
MI-0001043,MAN-000087,FPS-0547,RICE,132,6,ALLOC-0001093
MI-0001044,MAN-000087,FPS-0547,WHEAT,112,6,ALLOC-0001094
MI-0001045,MAN-000088,FPS-0597,RICE,347,1,ALLOC-0001193
MI-0001046,MAN-000088,FPS-0597,WHEAT,236,1,ALLOC-0001194
MI-0001047,MAN-000088,FPS-0022,RICE,157,2,ALLOC-0000043
MI-0001048,MAN-000088,FPS-0022,WHEAT,141,2,ALLOC-0000044
MI-0001049,MAN-000088,FPS-0397,RICE,144,3,ALLOC-0000793
MI-0001050,MAN-000088,FPS-0397,WHEAT,128,3,ALLOC-0000794
MI-0001051,MAN-000088,FPS-0272,RICE,219,4,ALLOC-0000543
MI-0001052,MAN-000088,FPS-0272,WHEAT,162,4,ALLOC-0000544
MI-0001053,MAN-000088,FPS-0372,RICE,136,5,ALLOC-0000743
MI-0001054,MAN-000088,FPS-0372,WHEAT,117,5,ALLOC-0000744
MI-0001055,MAN-000088,FPS-0447,RICE,126,6,ALLOC-0000893
MI-0001056,MAN-000088,FPS-0447,WHEAT,112,6,ALLOC-0000894
MI-0001057,MAN-000089,FPS-0548,RICE,177,1,ALLOC-0001095
MI-0001058,MAN-000089,FPS-0548,WHEAT,140,1,ALLOC-0001096
MI-0001059,MAN-000089,FPS-0148,RICE,248,2,ALLOC-0000295
MI-0001060,MAN-000089,FPS-0148,WHEAT,185,2,ALLOC-0000296
MI-0001061,MAN-000089,FPS-0573,RICE,123,3,ALLOC-0001145
MI-0001062,MAN-000089,FPS-0573,WHEAT,113,3,ALLOC-0001146
MI-0001063,MAN-000089,FPS-0098,RICE,246,4,ALLOC-0000195
MI-0001064,MAN-000089,FPS-0098,WHEAT,166,4,ALLOC-0000196
MI-0001065,MAN-000089,FPS-0598,RICE,186,5,ALLOC-0001195
MI-0001066,MAN-000089,FPS-0598,WHEAT,145,5,ALLOC-0001196
MI-0001067,MAN-000089,FPS-0023,RICE,144,6,ALLOC-0000045
MI-0001068,MAN-000089,FPS-0023,WHEAT,131,6,ALLOC-0000046
MI-0001069,MAN-000090,FPS-0323,RICE,172,1,ALLOC-0000645
MI-0001070,MAN-000090,FPS-0323,WHEAT,158,1,ALLOC-0000646
MI-0001071,MAN-000090,FPS-0048,RICE,130,2,ALLOC-0000095
MI-0001072,MAN-000090,FPS-0048,WHEAT,111,2,ALLOC-0000096
MI-0001073,MAN-000090,FPS-0423,RICE,168,3,ALLOC-0000845
MI-0001074,MAN-000090,FPS-0423,WHEAT,135,3,ALLOC-0000846
MI-0001075,MAN-000090,FPS-0448,RICE,161,4,ALLOC-0000895
MI-0001076,MAN-000090,FPS-0448,WHEAT,152,4,ALLOC-0000896
MI-0001077,MAN-000090,FPS-0123,RICE,141,5,ALLOC-0000245
MI-0001078,MAN-000090,FPS-0123,WHEAT,135,5,ALLOC-0000246
MI-0001079,MAN-000090,FPS-0073,RICE,176,6,ALLOC-0000145
MI-0001080,MAN-000090,FPS-0073,WHEAT,142,6,ALLOC-0000146
MI-0001081,MAN-000091,FPS-0498,RICE,162,1,ALLOC-0000995
MI-0001082,MAN-000091,FPS-0498,WHEAT,140,1,ALLOC-0000996
MI-0001083,MAN-000091,FPS-0298,RICE,145,2,ALLOC-0000595
MI-0001084,MAN-000091,FPS-0298,WHEAT,128,2,ALLOC-0000596
MI-0001085,MAN-000091,FPS-0398,RICE,134,3,ALLOC-0000795
MI-0001086,MAN-000091,FPS-0398,WHEAT,118,3,ALLOC-0000796
MI-0001087,MAN-000091,FPS-0273,RICE,227,4,ALLOC-0000545
MI-0001088,MAN-000091,FPS-0273,WHEAT,151,4,ALLOC-0000546
MI-0001089,MAN-000091,FPS-0173,RICE,154,5,ALLOC-0000345
MI-0001090,MAN-000091,FPS-0173,WHEAT,148,5,ALLOC-0000346
MI-0001091,MAN-000091,FPS-0523,RICE,175,6,ALLOC-0001045
MI-0001092,MAN-000091,FPS-0523,WHEAT,143,6,ALLOC-0001046
MI-0001093,MAN-000092,FPS-0473,RICE,166,1,ALLOC-0000945
MI-0001094,MAN-000092,FPS-0473,WHEAT,144,1,ALLOC-0000946
MI-0001095,MAN-000092,FPS-0373,RICE,155,2,ALLOC-0000745
MI-0001096,MAN-000092,FPS-0373,WHEAT,130,2,ALLOC-0000746
MI-0001097,MAN-000092,FPS-0348,RICE,176,3,ALLOC-0000695
MI-0001098,MAN-000092,FPS-0348,WHEAT,139,3,ALLOC-0000696
MI-0001099,MAN-000092,FPS-0198,RICE,161,4,ALLOC-0000395
MI-0001100,MAN-000092,FPS-0198,WHEAT,126,4,ALLOC-0000396
MI-0001101,MAN-000092,FPS-0248,RICE,266,5,ALLOC-0000495
MI-0001102,MAN-000092,FPS-0248,WHEAT,187,5,ALLOC-0000496
MI-0001103,MAN-000092,FPS-0223,RICE,166,6,ALLOC-0000445
MI-0001104,MAN-000092,FPS-0223,WHEAT,132,6,ALLOC-0000446
MI-0001105,MAN-000093,FPS-0324,RICE,144,1,ALLOC-0000647
MI-0001106,MAN-000093,FPS-0324,WHEAT,127,1,ALLOC-0000648
MI-0001107,MAN-000093,FPS-0374,RICE,143,2,ALLOC-0000747
MI-0001108,MAN-000093,FPS-0374,WHEAT,137,2,ALLOC-0000748
MI-0001109,MAN-000093,FPS-0024,RICE,139,3,ALLOC-0000047
MI-0001110,MAN-000093,FPS-0024,WHEAT,129,3,ALLOC-0000048
MI-0001111,MAN-000093,FPS-0049,RICE,180,4,ALLOC-0000097
MI-0001112,MAN-000093,FPS-0049,WHEAT,153,4,ALLOC-0000098
MI-0001113,MAN-000093,FPS-0174,RICE,198,5,ALLOC-0000347
MI-0001114,MAN-000093,FPS-0174,WHEAT,139,5,ALLOC-0000348
MI-0001115,MAN-000093,FPS-0224,RICE,151,6,ALLOC-0000447
MI-0001116,MAN-000093,FPS-0224,WHEAT,135,6,ALLOC-0000448
MI-0001117,MAN-000094,FPS-0524,RICE,125,1,ALLOC-0001047
MI-0001118,MAN-000094,FPS-0524,WHEAT,113,1,ALLOC-0001048
MI-0001119,MAN-000094,FPS-0349,RICE,176,2,ALLOC-0000697
MI-0001120,MAN-000094,FPS-0349,WHEAT,143,2,ALLOC-0000698
MI-0001121,MAN-000094,FPS-0199,RICE,145,3,ALLOC-0000397
MI-0001122,MAN-000094,FPS-0199,WHEAT,126,3,ALLOC-0000398
MI-0001123,MAN-000094,FPS-0599,RICE,131,4,ALLOC-0001197
MI-0001124,MAN-000094,FPS-0599,WHEAT,114,4,ALLOC-0001198
MI-0001125,MAN-000094,FPS-0399,RICE,163,5,ALLOC-0000797
MI-0001126,MAN-000094,FPS-0399,WHEAT,125,5,ALLOC-0000798
MI-0001127,MAN-000094,FPS-0299,RICE,148,6,ALLOC-0000597
MI-0001128,MAN-000094,FPS-0299,WHEAT,131,6,ALLOC-0000598
MI-0001129,MAN-000095,FPS-0449,RICE,147,1,ALLOC-0000897
MI-0001130,MAN-000095,FPS-0449,WHEAT,115,1,ALLOC-0000898
MI-0001131,MAN-000095,FPS-0124,RICE,222,2,ALLOC-0000247
MI-0001132,MAN-000095,FPS-0124,WHEAT,159,2,ALLOC-0000248
MI-0001133,MAN-000095,FPS-0274,RICE,188,3,ALLOC-0000547
MI-0001134,MAN-000095,FPS-0274,WHEAT,152,3,ALLOC-0000548
MI-0001135,MAN-000095,FPS-0424,RICE,197,4,ALLOC-0000847
MI-0001136,MAN-000095,FPS-0424,WHEAT,144,4,ALLOC-0000848
MI-0001137,MAN-000095,FPS-0149,RICE,261,5,ALLOC-0000297
MI-0001138,MAN-000095,FPS-0149,WHEAT,180,5,ALLOC-0000298
MI-0001139,MAN-000095,FPS-0549,RICE,212,6,ALLOC-0001097
MI-0001140,MAN-000095,FPS-0549,WHEAT,167,6,ALLOC-0001098
MI-0001141,MAN-000096,FPS-0574,RICE,193,1,ALLOC-0001147
MI-0001142,MAN-000096,FPS-0574,WHEAT,147,1,ALLOC-0001148
MI-0001143,MAN-000096,FPS-0474,RICE,162,2,ALLOC-0000947
MI-0001144,MAN-000096,FPS-0474,WHEAT,144,2,ALLOC-0000948
MI-0001145,MAN-000096,FPS-0099,RICE,166,3,ALLOC-0000197
MI-0001146,MAN-000096,FPS-0099,WHEAT,140,3,ALLOC-0000198
MI-0001147,MAN-000096,FPS-0499,RICE,211,4,ALLOC-0000997
MI-0001148,MAN-000096,FPS-0499,WHEAT,155,4,ALLOC-0000998
MI-0001149,MAN-000096,FPS-0074,RICE,130,5,ALLOC-0000147
MI-0001150,MAN-000096,FPS-0074,WHEAT,104,5,ALLOC-0000148
MI-0001151,MAN-000096,FPS-0249,RICE,207,6,ALLOC-0000497
MI-0001152,MAN-000096,FPS-0249,WHEAT,154,6,ALLOC-0000498
MI-0001153,MAN-000097,FPS-0500,RICE,161,1,ALLOC-0000999
MI-0001154,MAN-000097,FPS-0500,WHEAT,126,1,ALLOC-0001000
MI-0001155,MAN-000097,FPS-0200,RICE,129,2,ALLOC-0000399
MI-0001156,MAN-000097,FPS-0200,WHEAT,112,2,ALLOC-0000400
MI-0001157,MAN-000097,FPS-0025,RICE,241,3,ALLOC-0000049
MI-0001158,MAN-000097,FPS-0025,WHEAT,166,3,ALLOC-0000050
MI-0001159,MAN-000097,FPS-0550,RICE,126,4,ALLOC-0001099
MI-0001160,MAN-000097,FPS-0550,WHEAT,108,4,ALLOC-0001100
MI-0001161,MAN-000097,FPS-0600,RICE,152,5,ALLOC-0001199
MI-0001162,MAN-000097,FPS-0600,WHEAT,136,5,ALLOC-0001200
MI-0001163,MAN-000097,FPS-0525,RICE,120,6,ALLOC-0001049
MI-0001164,MAN-000097,FPS-0525,WHEAT,119,6,ALLOC-0001050
MI-0001165,MAN-000098,FPS-0450,RICE,121,1,ALLOC-0000899
MI-0001166,MAN-000098,FPS-0450,WHEAT,114,1,ALLOC-0000900
MI-0001167,MAN-000098,FPS-0350,RICE,187,2,ALLOC-0000699
MI-0001168,MAN-000098,FPS-0350,WHEAT,142,2,ALLOC-0000700
MI-0001169,MAN-000098,FPS-0400,RICE,187,3,ALLOC-0000799
MI-0001170,MAN-000098,FPS-0400,WHEAT,127,3,ALLOC-0000800
MI-0001171,MAN-000098,FPS-0075,RICE,197,4,ALLOC-0000149
MI-0001172,MAN-000098,FPS-0075,WHEAT,146,4,ALLOC-0000150
MI-0001173,MAN-000098,FPS-0375,RICE,206,5,ALLOC-0000749
MI-0001174,MAN-000098,FPS-0375,WHEAT,179,5,ALLOC-0000750
MI-0001175,MAN-000098,FPS-0475,RICE,208,6,ALLOC-0000949
MI-0001176,MAN-000098,FPS-0475,WHEAT,140,6,ALLOC-0000950
MI-0001177,MAN-000099,FPS-0175,RICE,183,1,ALLOC-0000349
MI-0001178,MAN-000099,FPS-0175,WHEAT,156,1,ALLOC-0000350
MI-0001179,MAN-000099,FPS-0425,RICE,173,2,ALLOC-0000849
MI-0001180,MAN-000099,FPS-0425,WHEAT,138,2,ALLOC-0000850
MI-0001181,MAN-000099,FPS-0300,RICE,160,3,ALLOC-0000599
MI-0001182,MAN-000099,FPS-0300,WHEAT,129,3,ALLOC-0000600
MI-0001183,MAN-000099,FPS-0250,RICE,157,4,ALLOC-0000499
MI-0001184,MAN-000099,FPS-0250,WHEAT,126,4,ALLOC-0000500
MI-0001185,MAN-000099,FPS-0225,RICE,151,5,ALLOC-0000449
MI-0001186,MAN-000099,FPS-0225,WHEAT,137,5,ALLOC-0000450
MI-0001187,MAN-000099,FPS-0100,RICE,114,6,ALLOC-0000199
MI-0001188,MAN-000099,FPS-0100,WHEAT,63,6,ALLOC-0000200
MI-0001189,MAN-000100,FPS-0575,RICE,228,1,ALLOC-0001149
MI-0001190,MAN-000100,FPS-0575,WHEAT,174,1,ALLOC-0001150
MI-0001191,MAN-000100,FPS-0150,RICE,142,2,ALLOC-0000299
MI-0001192,MAN-000100,FPS-0150,WHEAT,108,2,ALLOC-0000300
MI-0001193,MAN-000100,FPS-0050,RICE,249,3,ALLOC-0000099
MI-0001194,MAN-000100,FPS-0050,WHEAT,180,3,ALLOC-0000100
MI-0001195,MAN-000100,FPS-0325,RICE,189,4,ALLOC-0000649
MI-0001196,MAN-000100,FPS-0325,WHEAT,158,4,ALLOC-0000650
MI-0001197,MAN-000100,FPS-0275,RICE,159,5,ALLOC-0000549
MI-0001198,MAN-000100,FPS-0275,WHEAT,145,5,ALLOC-0000550
MI-0001199,MAN-000100,FPS-0125,RICE,147,6,ALLOC-0000249
MI-0001200,MAN-000100,FPS-0125,WHEAT,137,6,ALLOC-0000250
MI-0001201,MAN-000101,FPS-0201,WHEAT,123,1,ALLOC-0001602
MI-0001202,MAN-000101,FPS-0226,WHEAT,131,2,ALLOC-0001652
MI-0001203,MAN-000101,FPS-0451,WHEAT,152,3,ALLOC-0002102
MI-0001204,MAN-000101,FPS-0276,WHEAT,137,4,ALLOC-0001752
MI-0001205,MAN-000101,FPS-0476,WHEAT,131,5,ALLOC-0002152
MI-0001206,MAN-000101,FPS-0126,WHEAT,130,6,ALLOC-0001452
MI-0001207,MAN-000102,FPS-0326,WHEAT,146,1,ALLOC-0001852
MI-0001208,MAN-000102,FPS-0376,WHEAT,128,2,ALLOC-0001952
MI-0001209,MAN-000102,FPS-0176,WHEAT,126,3,ALLOC-0001552
MI-0001210,MAN-000102,FPS-0501,WHEAT,139,4,ALLOC-0002202
MI-0001211,MAN-000102,FPS-0076,WHEAT,139,5,ALLOC-0001352
MI-0001212,MAN-000102,FPS-0001,RICE,13339,6,ALLOC-0001201
MI-0001213,MAN-000102,FPS-0001,WHEAT,168,6,ALLOC-0001202
MI-0001214,MAN-000103,FPS-0301,WHEAT,131,1,ALLOC-0001802
MI-0001215,MAN-000103,FPS-0426,WHEAT,129,2,ALLOC-0002052
MI-0001216,MAN-000103,FPS-0551,WHEAT,144,3,ALLOC-0002302
MI-0001217,MAN-000103,FPS-0151,WHEAT,130,4,ALLOC-0001502
MI-0001218,MAN-000103,FPS-0251,WHEAT,133,5,ALLOC-0001702
MI-0001219,MAN-000103,FPS-0401,WHEAT,141,6,ALLOC-0002002
MI-0001220,MAN-000104,FPS-0351,WHEAT,115,1,ALLOC-0001902
MI-0001221,MAN-000104,FPS-0576,WHEAT,126,2,ALLOC-0002352
MI-0001222,MAN-000104,FPS-0026,WHEAT,132,3,ALLOC-0001252
MI-0001223,MAN-000104,FPS-0051,WHEAT,148,4,ALLOC-0001302
MI-0001224,MAN-000104,FPS-0101,WHEAT,142,5,ALLOC-0001402
MI-0001225,MAN-000104,FPS-0526,WHEAT,158,6,ALLOC-0002252
MI-0001226,MAN-000105,FPS-0052,RICE,223,1,ALLOC-0001303
MI-0001227,MAN-000105,FPS-0052,WHEAT,150,1,ALLOC-0001304
MI-0001228,MAN-000105,FPS-0552,RICE,128,2,ALLOC-0002303
MI-0001229,MAN-000105,FPS-0552,WHEAT,118,2,ALLOC-0002304
MI-0001230,MAN-000105,FPS-0377,RICE,172,3,ALLOC-0001953
MI-0001231,MAN-000105,FPS-0377,WHEAT,138,3,ALLOC-0001954
MI-0001232,MAN-000105,FPS-0177,RICE,134,4,ALLOC-0001553
MI-0001233,MAN-000105,FPS-0177,WHEAT,121,4,ALLOC-0001554
MI-0001234,MAN-000105,FPS-0277,RICE,159,5,ALLOC-0001753
MI-0001235,MAN-000105,FPS-0277,WHEAT,148,5,ALLOC-0001754
MI-0001236,MAN-000105,FPS-0427,RICE,148,6,ALLOC-0002053
MI-0001237,MAN-000105,FPS-0427,WHEAT,136,6,ALLOC-0002054
MI-0001238,MAN-000106,FPS-0477,RICE,191,1,ALLOC-0002153
MI-0001239,MAN-000106,FPS-0477,WHEAT,150,1,ALLOC-0002154
MI-0001240,MAN-000106,FPS-0302,RICE,156,2,ALLOC-0001803
MI-0001241,MAN-000106,FPS-0302,WHEAT,128,2,ALLOC-0001804
MI-0001242,MAN-000106,FPS-0327,RICE,205,3,ALLOC-0001853
MI-0001243,MAN-000106,FPS-0327,WHEAT,146,3,ALLOC-0001854
MI-0001244,MAN-000106,FPS-0102,RICE,139,4,ALLOC-0001403
MI-0001245,MAN-000106,FPS-0102,WHEAT,121,4,ALLOC-0001404
MI-0001246,MAN-000106,FPS-0527,RICE,152,5,ALLOC-0002253
MI-0001247,MAN-000106,FPS-0527,WHEAT,135,5,ALLOC-0002254
MI-0001248,MAN-000106,FPS-0227,RICE,138,6,ALLOC-0001653
MI-0001249,MAN-000106,FPS-0227,WHEAT,130,6,ALLOC-0001654
MI-0001250,MAN-000107,FPS-0352,RICE,178,1,ALLOC-0001903
MI-0001251,MAN-000107,FPS-0352,WHEAT,141,1,ALLOC-0001904
MI-0001252,MAN-000107,FPS-0002,RICE,144,2,ALLOC-0001203
MI-0001253,MAN-000107,FPS-0002,WHEAT,136,2,ALLOC-0001204
MI-0001254,MAN-000107,FPS-0027,RICE,135,3,ALLOC-0001253
MI-0001255,MAN-000107,FPS-0027,WHEAT,98,3,ALLOC-0001254
MI-0001256,MAN-000107,FPS-0402,RICE,135,4,ALLOC-0002003
MI-0001257,MAN-000107,FPS-0402,WHEAT,130,4,ALLOC-0002004
MI-0001258,MAN-000107,FPS-0077,RICE,142,5,ALLOC-0001353
MI-0001259,MAN-000107,FPS-0077,WHEAT,112,5,ALLOC-0001354
MI-0001260,MAN-000107,FPS-0152,RICE,160,6,ALLOC-0001503
MI-0001261,MAN-000107,FPS-0152,WHEAT,125,6,ALLOC-0001504
MI-0001262,MAN-000108,FPS-0502,RICE,204,1,ALLOC-0002203
MI-0001263,MAN-000108,FPS-0502,WHEAT,157,1,ALLOC-0002204
